id,name
d1,Kirsten Johnson
d2,Julien Leclercq
d3,Mike Flanagan
d4,"Robert Cullen, José Luis Ucha"
d5,Haile Gerima
d6,Andy Devonshire
d7,Theodore Melfi
d8,Kongkiat Komesiri
d9,Christian Schwochow
d10,Bruno Garotti
d11,"Pedro de Echave García, Pablo Azorín Williams"
d12,Adam Salky
d13,Olivier Megaton
d14,K.S. Ravikumar
d15,"Alex Woo, Stanley Moore"
d16,S. Shankar
d17,Rajiv Menon
d18,Dennis Dugan
d19,Scott Stewart
d20,Robert Luketic
d21,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary"
d22,Daniel Sandu
d23,Cédric Jimenez
d24,George Nolfi
d25,Steven Spielberg
d26,Jeannot Szwarc
d27,Joe Alves
d28,Joseph Sargent
d29,Tyler Greco
d30,Daniel Espinosa
d31,Bunmi Ajakaiye
d32,Antoine Fuqua
d33,Toshiya Shinohara
d34,Masahiko Murata
d35,Hajime Kamegaki
d36,Hirotsugu Kawasaki
d37,Toshiyuki Tsuru
d38,Tensai Okamura
d39,David Yarovesky
d40,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech"
d41,David A. Vargas
d42,Kemi Adetiba
d43,Ben Simms
d44,Prakash Satam
d45,Delhiprasad Deenadayalan
d46,Tomer Eshed
d47,Cedric Nicolas-Troyan
d48,"JJC Skillz, Funke Akindele"
d49,Thomas Sieben
d50,Marcus Clarke
d51,Alice Waddington
d52,"Mona Achache, Patricia Tourancheau"
d53,Alexis Almström
d54,Raja Gosnell
d55,Stephen Kijak
d56,"Chapman Way, Maclain Way"
d57,Jason Hehir
d58,Yemi Amodu
d59,Lijo Jose Pellissery
d60,David de Vos
d61,"Luis Alfaro, Javier Gómez Santander"
d62,Sara Colangelo
d63,Stephen Herek
d64,Rahul Rawail
d65,Jane Campion
d66,Nagesh Kukunoor
d67,Luke Holland
d68,Shanker Raman
d69,JP Habac
d70,Vidhu Vinod Chopra
d71,Mark Rosman
d72,Gilles Paquet-Brenner
d73,Lasse Hallström
d74,Scott Pleydell-Pearce
d75,Ridley Scott
d76,Neill Blomkamp
d77,Phillip Noyce
d78,Renny Harlin
d79,Anthony Minghella
d80,Simon Wincer
d81,Spike Lee
d82,Sebastián Schindel
d83,Steven C. Miller
d84,Richard LaGravenese
d85,Martin Campbell
d86,Reginald Hudlin
d87,"George Jackson, Doug McHenry"
d88,Eric Meza
d89,Gerhard Mostert
d90,Michael Martin
d91,Michael Rymer
d92,"Andrew Lau Wai-keung, Alan Mak"
d93,Brett Weiner
d94,Jim Henson
d95,Gary Winick
d96,Danishka Esterhazy
d97,Troy Byer
d98,Pang Ho-cheung
d99,Tim Burton
d100,David Zucker
d101,Kinka Usher
d102,Sergio Leone
d103,"Matthew O'Callaghan, Todd Wilderman"
d104,"Bobby Farrelly, Peter Farrelly"
d105,Wolfgang Petersen
d106,Peter Spirer
d107,Michael Carney
d108,Richard Linklater
d109,Amy Rice
d110,Randal Kleiser
d111,Michael Ritchie
d112,J. Lee Thompson
d113,"Evan Goldberg, Seth Rogen"
d114,Tom Shadyac
d115,Peter Segal
d116,Malcolm D. Lee
d117,"Ramzy Bedia, Éric Judor"
d118,Sharan Koppisetty
d119,Taylor Sheridan
d120,Sachin Yardi
d121,Saurabh Kabra
d122,Mark Waters
d123,Partho Mitra
d124,Santram Varma
d125,"Anil V. Kumar, Anurag Basu"
d126,Sangeeth Sivan
d127,Umesh Ghadge
d128,David Dhawan
d129,Dibakar Banerjee
d130,Apoorva Lakhia
d131,Milan Luthria
d132,Pawan Kripalani
d133,Bhushan Patel
d134,Magnus Martens
d135,"Raj Nidimoru, Krishna D.K."
d136,Joshua Rofé
d137,Brad Anderson
d138,"Mauricio Dias, Tatiana Villela"
d139,Angel Kristi Williams
d140,Roger Donaldson
d141,Christopher Alender
d142,Rush Sturges
d143,David Oyelowo
d144,Mark Lo
d145,Crystal Moselle
d146,Rathindran R Prasad
d147,Han Kwang Il
d148,Karim El Shenawy
d149,Yin Chen-hao
d150,Brian Andrew Mendoza
d151,Dave Needham
d152,Veronica Velasco
d153,Drake Doremus
d154,Miguel Alexandre
d155,Mani Ratnam
d156,Michael Harte
d157,Tosin Igho
d158,Alice Filippi
d159,Paakhi Tyrewala
d160,Laura Brownson
d161,Steve Brill
d162,Moses Inwang
d163,Ferdinando Cito Filomarino
d164,Juan Carlos Medina
d165,Inma Torrente
d166,Julián Gaviria
d167,Steven Yamamoto
d168,Charles Uwagbai
d169,Julián Hernández
d170,Sam Hobkinson
d171,Vince Marcello
d172,Jonathan Teplitzky
d173,Sakon Tiacharoen
d174,Floyd Russ
d175,Dustin Hoffman
d176,Adze Ugah
d177,Hideaki Takizawa
d178,Quoc Bao Tran
d179,"Bejoy Nambiar, Priyadarshan, Karthik Narain, Vasanth Sai, Karthik Subbaraj, Arvind Swamy, Rathindran R Prasad, Sarjun, Gautham Vasudev Menon"
d180,Kayode Kasum
d181,Just Philippot
d182,"Kirk DeMicco, Brandon Jeffords"
d183,Rohit Shetty
d184,"Cavi Borges, Luciano Vidigal"
d185,Alejandro Doria
d186,Laura Fairrie
d187,Marcelo Piñeyro
d188,Izu Ojukwu
d189,Peter Winther
d190,Susan Lacy
d191,Billy Corben
d192,James Mangold
d193,Chineze Anyaene
d194,Hsu Fu-chun
d195,Kristine Stolakis
d196,"Eva Müller, Michael Schmitt"
d197,Brian Levant
d198,Rod Daniel
d199,Robert Zemeckis
d200,Todor Chapkanov
d201,"Phil Lord, Christopher Miller"
d202,John Hughes
d203,Justin Baldoni
d204,Joe Roth
d205,Mark Helfrich
d206,"Mag Hsu, Hsu Chih-yen"
d207,Christopher Nolan
d208,Paul Thomas Anderson
d209,Nick Castle
d210,Howard Zieff
d211,David Feiss
d212,David Gordon Green
d213,Jorge Blanco
d214,Zara Hayes
d215,Gary Ross
d216,Clint Eastwood
d217,Trey Parker
d218,Kelly Fremon Craig
d219,Tom Elkins
d220,Tony Scott
d221,Brad Furman
d222,Sylvain White
d223,Irwin Winkler
d224,Garry Marshall
d225,Kenneth Gyang
d226,Jaume Balagueró
d227,Najwa Najjar
d228,Selçuk Metin
d229,Keishi Otomo
d230,David Charhon
d231,Michelle Bello
d232,Steven Tsuchida
d233,Daniel Markowicz
d234,Louie Schwartzberg
d235,Glen Winter
d236,Ram Gopal Varma
d237,David Benullo
d238,Laxman Utekar
d239,"Royale Watkins, Rich Schlansker"
d240,Yuval Adler
