id,show_id,rating
r1,s1,R
r2,s2,NR
r3,s3,PG-13
r4,s4,NR
r5,s5,NR
r6,s6,PG
r7,s7,PG-13
r8,s8,PG-13
r9,s9,PG-13
r10,s10,NR
r11,s11,R
r12,s12,PG-13
r13,s13,NR
r14,s14,PG
r15,s15,R
r16,s16,PG
r17,s17,R
r18,s18,NR
r19,s19,G
r20,s20,R
r21,s21,PG
r22,s22,NR
r23,s23,R
r24,s24,G
r25,s25,G
r26,s26,PG-13
r27,s27,PG-13
r28,s28,PG
r29,s29,R
r30,s30,R
r31,s31,PG-13
r32,s32,R
r33,s33,R
r34,s34,G
r35,s35,PG-13
r36,s36,NR
r37,s37,PG-13
r38,s38,NR
r39,s39,G
r40,s40,PG
r41,s41,R
r42,s42,G
r43,s43,R
r44,s44,PG
r45,s45,PG
r46,s46,G
r47,s47,PG
r48,s48,NR
r49,s49,PG
r50,s50,R
r51,s51,R
r52,s52,R
r53,s53,R
r54,s54,NR
r55,s55,PG-13
r56,s56,G
r57,s57,R
r58,s58,PG
r59,s59,R
r60,s60,PG
r61,s61,PG
r62,s62,R
r63,s63,NR
r64,s64,PG
r65,s65,PG
r66,s66,R
r67,s67,PG
r68,s68,PG
r69,s69,R
r70,s70,R
r71,s71,G
r72,s72,NR
r73,s73,NR
r74,s74,PG
r75,s75,NR
r76,s76,PG
r77,s77,G
r78,s78,R
r79,s79,R
r80,s80,R
r81,s81,NR
r82,s82,G
r83,s83,NR
r84,s84,NR
r85,s85,G
r86,s86,G
r87,s87,G
r88,s88,G
r89,s89,R
r90,s90,PG-13
r91,s91,PG-13
r92,s92,G
r93,s93,PG-13
r94,s94,PG-13
r95,s95,G
r96,s96,PG-13
r97,s97,NR
r98,s98,PG
r99,s99,PG
r100,s100,G
r101,s101,R
r102,s102,G
r103,s103,R
r104,s104,PG
r105,s105,G
r106,s106,NR
r107,s107,PG-13
r108,s108,R
r109,s109,PG-13
r110,s110,PG-13
r111,s111,G
r112,s112,PG-13
r113,s113,NR
r114,s114,PG-13
r115,s115,G
r116,s116,NR
r117,s117,PG
r118,s118,PG-13
r119,s119,G
r120,s120,PG
r121,s121,PG
r122,s122,R
r123,s123,NR
r124,s124,PG-13
r125,s125,G
r126,s126,R
r127,s127,NR
r128,s128,R
r129,s129,NR
r130,s130,NR
r131,s131,PG-13
r132,s132,NR
r133,s133,R
r134,s134,NR
r135,s135,PG-13
r136,s136,PG-13
r137,s137,R
r138,s138,PG
r139,s139,PG
r140,s140,NR
r141,s141,G
r142,s142,NR
r143,s143,R
r144,s144,R
r145,s145,R
r146,s146,R
r147,s147,R
r148,s148,PG-13
r149,s149,PG
r150,s150,R
r151,s151,G
r152,s152,G
r153,s153,G
r154,s154,G
r155,s155,PG-13
r156,s156,G
r157,s157,R
r158,s158,NR
r159,s159,G
r160,s160,PG-13
r161,s161,PG-13
r162,s162,G
r163,s163,NR
r164,s164,G
r165,s165,PG-13
r166,s166,PG
r167,s167,R
r168,s168,PG-13
r169,s169,G
r170,s170,R
r171,s171,G
r172,s172,G
r173,s173,PG
r174,s174,R
r175,s175,R
r176,s176,PG
r177,s177,PG-13
r178,s178,G
r179,s179,NR
r180,s180,G
r181,s181,G
r182,s182,PG-13
r183,s183,G
r184,s184,PG
r185,s185,PG
r186,s186,R
r187,s187,NR
r188,s188,G
r189,s189,G
r190,s190,PG-13
r191,s191,PG
r192,s192,NR
r193,s193,R
r194,s194,PG
r195,s195,R
r196,s196,PG-13
r197,s197,PG-13
r198,s198,G
r199,s199,NR
r200,s200,R
r201,s201,PG
r202,s202,PG-13
r203,s203,G
r204,s204,G
r205,s205,R
r206,s206,PG-13
r207,s207,NR
r208,s208,PG-13
r209,s209,R
r210,s210,R
r211,s211,PG-13
r212,s212,R
r213,s213,PG-13
r214,s214,PG
