"show_id","title","director_id","release_year","duration"
"s1","""Dick Johnson Is Dead""","d861",2020,"90 min"
"s7","""My Little Pony: A New Generation""","d3773",2021,"91 min"
"s8","""Sankofa""","d3093",1993,"125 min"
"s10","""The Starling""","d467",2021,"104 min"
"s13","""Je Suis Karl""","d4427",2021,"127 min"
"s14","""Confessions of an Invisible Girl""","d3445",2021,"91 min"
"s17","""Europe's Most Dangerous Man: Otto Skorzeny in Spain""","d3172",2020,"67 min"
"s19","""Intrusion""","d2920",2021,"94 min"
"s23","""Avvai Shanmughi""","d131",1996,"161 min"
"s24","""Go! Go! Cory Carson: Chrissy Takes the Wheel""","d1686",2021,"61 min"
"s25","""Jeans""","d770",1998,"166 min"
"s27","""Minsara Kanavu""","d2392",1997,"147 min"
"s28","""Grown Ups""","d2434",2010,"103 min"
"s29","""Dark Skies""","d1185",2013,"97 min"
"s30","""Paranoia""","d3386",2013,"106 min"
"s31","""Ankahi Kahaniya""","d4118",2021,"111 min"
"s36","""The Father Who Moves Mountains""","d2905",2021,"110 min"
"s37","""The Stronghold""","d475",2021,"105 min"
"s39","""Birth of the Dragon""","d1083",2017,"96 min"
"s42","""Jaws""","d2559",1975,"124 min"
"s43","""Jaws 2""","d2048",1978,"116 min"
"s44","""Jaws 3""","d2748",1983,"98 min"
"s45","""Jaws: The Revenge""","d976",1987,"91 min"
"s46","""My Heroes Were Cowboys""","d1807",2021,"23 min"
"s47","""Safe House""","d190",2012,"115 min"
"s49","""Training Day""","d2735",2001,"122 min"
"s52","""InuYasha the Movie 2: The Castle Beyond the Looking Glass""","d3006",2002,"99 min"
"s53","""InuYasha the Movie 3: Swords of an Honorable Ruler""","d1900",2003,"99 min"
"s54","""InuYasha the Movie 4: Fire on the Mystic Island""","d1268",2004,"88 min"
"s55","""InuYasha the Movie: Affections Touching Across Time""","d1529",2001,"100 min"
"s57","""Naruto Shippuden the Movie: Blood Prison""","d3203",2011,"102 min"
"s58","""Naruto Shippûden the Movie: Bonds""","d3557",2008,"93 min"
"s59","""Naruto Shippûden the Movie: The Will of Fire""","d3891",2009,"96 min"
"s60","""Naruto Shippuden: The Movie""","d647",2007,"95 min"
"s61","""Naruto Shippuden: The Movie: The Lost Tower""","d2889",2010,"85 min"
"s62","""Naruto the Movie 2: Legend of the Stone of Gelel""","d2436",2005,"97 min"
"s63","""Naruto the Movie 3: Guardians of the Crescent Moon Kingdom""","d601",2006,"95 min"
"s64","""Naruto the Movie: Ninja Clash in the Land of Snow""","d2364",2004,"83 min"
"s65","""Nightbooks""","d2062",2021,"103 min"
"s69","""Schumacher""","d242",2021,"113 min"
"s72","""A StoryBots Space Adventure""","d2042",2021,"13 min"
"s74","""King of Boys""","d2825",2018,"182 min"
"s76","""You vs. Wild: Out Cold""","d2613",2021,"106 min"
"s78","""Little Singham - Black Shadow""","d1364",2021,"48 min"
"s79","""Tughlaq Durbar""","d1479",2020,"145 min"
"s80","""Tughlaq Durbar (Telugu)""","d2557",2021,"145 min"
"s81","""Firedrake the Silver Dragon""","d776",2021,"93 min"
"s82","""Kate""","d4015",2021,"106 min"
"s85","""Omo Ghetto: the Saga""","d35",2020,"147 min"
"s87","""Prey""","d3153",2021,"87 min"
"s89","""Blood Brothers: Malcolm X & Muhammad Ali""","d1956",2021,"96 min"
"s91","""Paradise Hills""","d1586",2019,"95 min"
"s92","""The Women and the Murderer""","d3944",2021,"92 min"
"s94","""JJ+E""","d3074",2021,"91 min"
"s95","""Show Dogs""","d1022",2018,"90 min"
"s97","""If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd""","d3462",2018,"97 min"
"s102","""Untold: Breaking Point""","d2614",2021,"80 min"
"s104","""Shadow Parties""","d3844",2020,"117 min"
"s106","""Angamaly Diaries""","d1501",2017,"128 min"
"s108","""A Champion Heart""","d162",2018,"90 min"
"s113","""Worth""","d4298",2021,"119 min"
"s114","""Afterlife of the Party""","d1982",2021,"110 min"
"s115","""Anjaam""","d996",1994,"143 min"
"s116","""Bright Star""","d3343",2009,"119 min"
"s117","""Dhanak""","d3799",2015,"114 min"
"s118","""Final Account""","d1276",2021,"94 min"
"s119","""Gurgaon""","d1017",2017,"106 min"
"s120","""Here and There""","d338",2020,"99 min"
"s123","""In the Cut""","d879",2003,"118 min"
"s127","""Shikara""","d1077",2020,"115 min"
"s128","""A Cinderella Story""","d3994",2004,"95 min"
"s129","""Agatha Christie's Crooked House""","d380",2017,"115 min"
"s130","""An Unfinished Life""","d493",2005,"108 min"
"s131","""Barbie Big City Big Dreams""","d2063",2021,"63 min"
"s132","""Blade Runner: The Final Cut""","d3885",1982,"117 min"
"s134","""Chappie""","d65",2015,"121 min"
"s135","""Clear and Present Danger""","d2569",1994,"142 min"
"s136","""Cliffhanger""","d2028",1993,"113 min"
"s137","""Cold Mountain""","d2696",2003,"154 min"
"s138","""Crocodile Dundee in Los Angeles""","d1496",2001,"95 min"
"s139","""Dear John""","d392",2010,"108 min"
"s140","""Do the Right Thing""","d4515",1989,"120 min"
"s141","""El patrón, radiografía de un crimen""","d4475",2014,"100 min"
"s142","""Extraction""","d3562",2015,"82 min"
"s143","""Freedom Writers""","d2279",2007,"124 min"
"s144","""Green Lantern""","d3100",2011,"114 min"
"s145","""House Party""","d201",1990,"104 min"
"s146","""House Party 2""","d3105",1991,"94 min"
"s147","""House Party 3""","d2455",1994,"94 min"
"s150","""I Got the Hook Up""","d3646",1998,"93 min"
"s151","""In Too Deep""","d805",1999,"97 min"
"s152","""Initial D""","d2732",2005,"109 min"
"s153","""Janoskians: Untold and Untrue""","d2774",2016,"88 min"
"s156","""Labyrinth""","d1571",1986,"101 min"
"s157","""Letters to Juliet""","d2691",2010,"105 min"
"s158","""Level 16""","d3841",2018,"102 min"
"s159","""Love Don't Cost a Thing""","d1029",2003,"101 min"
"s160","""Love in a Puff""","d503",2010,"103 min"
"s162","""Mars Attacks!""","d4494",1996,"106 min"
"s163","""Marshall""","d871",2017,"118 min"
"s164","""My Boss's Daughter""","d4489",2003,"86 min"
"s165","""Mystery Men""","d207",1999,"121 min"
"s167","""Once Upon a Time in America""","d1485",1984,"229 min"
"s168","""Open Season 2""","d864",2008,"76 min"
"s169","""Osmosis Jones""","d2791",2001,"95 min"
"s170","""Poseidon""","d564",2006,"98 min"
"s171","""Rhyme & Reason""","d4192",1997,"89 min"
"s172","""Same Kind of Different as Me""","d1758",2017,"120 min"
"s173","""School of Rock""","d1679",2003,"110 min"
"s174","""Snervous Tyler Oakley""","d3243",2015,"83 min"
"s175","""Tears of the Sun""","d1060",2003,"121 min"
"s176","""The Blue Lagoon""","d1723",1980,"105 min"
"s177","""The Golden Child""","d3315",1986,"94 min"
"s178","""The Guns of Navarone""","d3158",1961,"156 min"
"s179","""The Interview""","d2626",2014,"112 min"
"s180","""The Nutty Professor""","d2730",1996,"95 min"
"s181","""The Nutty Professor II: The Klumps""","d1598",2000,"107 min"
"s183","""Welcome Home Roscoe Jenkins""","d3061",2008,"114 min"
"s184","""In the Line of Fire""","d2694",1993,"129 min"
"s186","""Untold: Crime & Penalties""","d3628",2021,"86 min"
"s189","""2 Alone in Paris""","d1364",2008,"97 min"
"s191","""Thimmarusu""","d1982",2021,"125 min"
"s192","""Wind River""","d1664",2017,"107 min"
"s193","""C Kkompany""","d1530",2008,"127 min"
"s196","""EMI: Liya Hai To Chukana Padega""","d2039",2008,"128 min"
"s197","""He's All That""","d3303",2021,"92 min"
"s200","""Koi Aap Sa""","d2238",2006,"135 min"
"s201","""Krishna Cottage""","d1307",2004,"124 min"
"s202","""Kucch To Hai""","d4030",2003,"136 min"
"s203","""Kyaa Kool Hai Hum""","d2676",2005,"165 min"
"s204","""Kyaa Kool Hain Hum 3""","d1283",2016,"124 min"
"s205","""Kyaa Super Kool Hain Hum""","d710",2012,"136 min"
"s206","""Kyo Kii... Main Jhuth Nahin Bolta""","d4414",2001,"150 min"
"s207","""LSD: Love, Sex Aur Dhokha""","d3749",2010,"112 min"
"s208","""Mission Istaanbul: Darr Ke Aagey Jeet Hai""","d664",2008,"119 min"
"s209","""Once Upon a Time in Mumbaai""","d1999",2010,"133 min"
"s210","""Once Upon a Time in Mumbai Dobaara!""","d3446",2013,"142 min"
"s211","""Ragini MMS""","d3744",2011,"93 min"
"s212","""Ragini MMS 2""","d1496",2014,"113 min"
"s215","""SAS: Rise of the Black Swan""","d3305",2021,"124 min"
"s216","""Shootout at Lokhandwala""","d3764",2007,"116 min"
"s217","""Shor In the City""","d1854",2011,"106 min"
"s218","""The Dirty Picture""","d1292",2011,"145 min"
"s222","""Bob Ross: Happy Accidents, Betrayal & Greed""","d3582",2021,"93 min"
"s228","""Really Love""","d3458",2020,"95 min"
"s229","""The November Man""","d1637",2014,"108 min"
"s230","""The Old Ways""","d3697",2020,"90 min"
"s231","""The River Runner""","d3000",2021,"86 min"
"s232","""The Water Man""","d3153",2021,"92 min"
"s234","""Count Me In""","d699",2021,"82 min"
"s236","""Untold: Caitlyn Jenner""","d2161",2021,"70 min"
"s237","""Boomika""","d4098",2021,"122 min"
"s238","""Boomika (Hindi)""","d855",2021,"122 min"
"s239","""Boomika (Malayalam)""","d3475",2021,"122 min"
"s240","""Boomika (Telugu)""","d1708",2021,"122 min"
"s241","""The Witcher: Nightmare of the Wolf""","d2778",2021,"84 min"
"s245","""Gunshot""","d1734",2018,"96 min"
"s247","""Man in Love""","d3511",2021,"115 min"
"s248","""Sweet Girl""","d203",2021,"110 min"
"s250","""The Loud House Movie""","d3256",2021,"88 min"
"s251","""A Faraway Land""","d4219",2020,"102 min"
"s252","""Like Crazy""","d4497",2011,"91 min"
"s253","""Black Island""","d767",2021,"105 min"
"s254","""Bombay""","d4390",1995,"135 min"
"s256","""Memories of a Murderer: The Nilsen Tapes""","d2328",2021,"86 min"
"s257","""Nneka The Pretty Serpent""","d2932",2020,"140 min"
"s258","""O Kadhal Kanmani""","d198",2015,"133 min"
"s259","""Out of my league""","d1931",2020,"92 min"
"s260","""Pahuna""","d3583",2018,"82 min"
"s262","""The Secret Diary of an Exchange Student""","d609",2021,"97 min"
"s263","""Untold: Deal With the Devil""","d3273",2021,"78 min"
"s265","""Walk of Shame""","d1148",2014,"94 min"
"s268","""The Piano""","d4283",1993,"121 min"
"s269","""Unroyal""","d3398",2020,"97 min"
"s271","""Beckett""","d2512",2021,"110 min"
"s279","""Lokillo: Nothing's the Same""","d1795",2021,"64 min"
"s280","""Monster Hunter: Legends of the Guild""","d660",2021,"59 min"
"s282","""Brother Jekwu""","d2812",2016,"101 min"
"s283","""La diosa del asfalto""","d1370",2020,"127 min"
"s284","""Misha and the Wolves""","d1987",2021,"90 min"
"s285","""The Kissing Booth 3""","d147",2021,"114 min"
"s286","""The Railway Man""","d3220",2013,"108 min"
"s291","""Untold: Malice at the Palace""","d2912",2021,"70 min"
"s293","""Quartet""","d1735",2012,"98 min"
"s294","""Slay""","d1844",2021,"86 min"
"s295","""Takizawa Kabuki ZERO 2020 The Movie""","d489",2020,"139 min"
"s296","""The Paper Tigers""","d2977",2021,"111 min"
"s299","""Quam's Money""","d1960",2020,"115 min"
"s300","""The Swarm""","d2386",2021,"102 min"
"s301","""Vivo""","d2920",2021,"100 min"
"s302","""Chennai Express""","d1803",2013,"135 min"
"s303","""City of God: 10 Years Later""","d4062",2013,"69 min"
"s304","""Esperando la carroza""","d3370",1985,"95 min"
"s305","""Lady Boss: The Jackie Collins Story""","d263",2021,"97 min"
"s306","""Tango Feroz""","d624",1993,"124 min"
"s307","""'76""","d1017",2016,"118 min"
"s308","""Aftermath""","d3644",2021,"115 min"
"s309","""American Masters: Inventing David Geffen""","d2050",2012,"115 min"
"s315","""Heavy""","d3724",1995,"104 min"
"s316","""Ije: The Journey""","d3109",2010,"106 min"
"s318","""Pray Away""","d4091",2021,"102 min"
"s319","""Shiny_Flakes: The Teenage Drug Lord""","d2057",2021,"97 min"
"s326","""Beethoven""","d3171",1992,"87 min"
"s327","""Beethoven's 2nd""","d1683",1993,"88 min"
"s328","""Beowulf""","d2256",2007,"114 min"
"s329","""Boyka: Undisputed""","d1155",2016,"90 min"
"s330","""Catch Me If You Can""","d4500",2002,"142 min"
"s331","""Cloudy with a Chance of Meatballs""","d3192",2009,"90 min"
"s333","""Deep Blue Sea""","d1697",1999,"105 min"
"s334","""Ferris Bueller's Day Off""","d3992",1986,"103 min"
"s335","""Five Feet Apart""","d1649",2019,"116 min"
"s336","""Freedomland""","d1446",2006,"113 min"
"s338","""Good Luck Chuck""","d4200",2007,"99 min"
"s340","""I missed you: Director's Cut""","d3924",2021,"96 min"
"s341","""Inception""","d254",2010,"148 min"
"s342","""Magnolia""","d3184",1999,"189 min"
"s343","""Major Payne""","d2558",1995,"97 min"
"s344","""My Girl""","d99",1991,"102 min"
"s345","""My Girl 2""","d2201",1994,"99 min"
"s346","""Open Season: Scared Silly""","d2962",2015,"85 min"
"s347","""Pineapple Express""","d4434",2008,"112 min"
"s348","""Planet 51""","d3778",2009,"91 min"
"s349","""Poms""","d2870",2019,"91 min"
"s350","""Seabiscuit""","d3235",2003,"141 min"
"s351","""Space Cowboys""","d3792",2000,"130 min"
"s352","""Team America: World Police""","d957",2004,"98 min"
"s353","""The Edge of Seventeen""","d4068",2016,"105 min"
"s354","""The Haunting in Connecticut 2: Ghosts of Georgia""","d161",2013,"101 min"
"s355","""The Last Boy Scout""","d4494",1991,"105 min"
"s356","""The Lincoln Lawyer""","d1301",2011,"118 min"
"s357","""The Losers""","d3988",2010,"97 min"
"s358","""The Machinist""","d1528",2004,"102 min"
"s359","""The Net""","d1219",1995,"114 min"
"s360","""The Original Kings of Comedy""","d4497",2000,"111 min"
"s361","""Valentine's Day""","d3105",2010,"125 min"
"s363","""The Lost Café""","d2736",2018,"76 min"
"s364","""The Vault""","d955",2021,"118 min"
"s366","""Eyes of a Thief""","d3447",2014,"103 min"
"s368","""I'm Glad I Did""","d1046",2020,"114 min"
"s372","""Pomegranates and Myrrh""","d1694",2009,"95 min"
"s373","""Rurouni Kenshin: The Beginning""","d3437",2021,"138 min"
"s374","""The Last Mercenary""","d563",2021,"112 min"
"s375","""Flower Girl""","d2486",2013,"94 min"
"s376","""Resort to Love""","d3355",2021,"102 min"
"s378","""Bartkowiak""","d226",2021,"92 min"
"s379","""Fantastic Fungi""","d960",2019,"81 min"
"s384","""Department""","d3068",2012,"143 min"
"s385","""Hostage House""","d816",2021,"86 min"
"s388","""Mimi""","d3121",2021,"132 min"
"s390","""The Operative""","d17",2019,"117 min"
"s393","""Django Unchained""","d1244",2012,"165 min"
"s394","""A Second Chance:  Rivals!""","d2206",2021,"91 min"
"s395","""African America""","d2525",2021,"97 min"
"s396","""Bankrolled""","d1070",2021,"97 min"
"s397","""Blood Red Sky""","d3445",2021,"123 min"
"s399","""Kingdom: Ashin of the North""","d2566",2021,"94 min"
"s403","""The Last Letter From Your Lover""","d1061",2021,"111 min"
"s405","""9to5: The Story of a Movement""","d2328",2021,"85 min"
"s406","""Chhota Bheem - Dinosaur World""","d3421",2015,"65 min"
"s407","""Chhota Bheem - Neeli Pahaadi""","d302",2013,"64 min"
"s408","""Chhota Bheem & Ganesh""","d4277",2009,"68 min"
"s409","""Chhota Bheem & Krishna: Mayanagari""","d607",2011,"67 min"
"s410","""Chhota Bheem & Krishna: Pataliputra- City of the Dead""","d3171",2010,"66 min"
"s411","""Chhota Bheem And The Broken Amulet""","d700",2013,"64 min"
"s412","""Chhota Bheem And The Crown of Valhalla""","d1140",2013,"64 min"
"s413","""Chhota Bheem and the Incan Adventure""","d191",2013,"65 min"
"s414","""Chhota Bheem and The ShiNobi Secret""","d2301",2013,"64 min"
"s415","""Chhota Bheem Aur Hanuman""","d981",2012,"68 min"
"s416","""Chhota Bheem aur Krishna""","d2976",2009,"68 min"
"s417","""Chhota Bheem aur Krishna vs Zimbara""","d1185",2013,"64 min"
"s418","""Chhota Bheem in African Safari""","d3328",2015,"62 min"
"s419","""Chhota Bheem Ka Roosi Romanch""","d3395",2019,"63 min"
"s420","""Chhota Bheem: Bheem vs Aliens""","d128",2010,"69 min"
"s421","""Chhota Bheem: Dholakpur to Kathmandu""","d2066",2012,"70 min"
"s422","""Chhota Bheem: Dus Pe Dus""","d1817",2014,"63 min"
"s423","""Chhota Bheem: Journey to Petra""","d570",2011,"68 min"
"s424","""Chhota Bheem: Master of Shaolin""","d1896",2011,"74 min"
"s425","""Chhota Bheem: The Rise of Kirmada""","d2734",2012,"68 min"
"s427","""Cousins""","d3864",2021,"99 min"
"s428","""Wannabe Courageous""","d4015",2019,"90 min"
"s429","""Words Bubble Up Like Soda Pop""","d2902",2021,"87 min"
"s430","""Sanitation Day""","d1687",2020,"105 min"
"s433","""Trollhunters: Rise of the Titans""","d3010",2021,"106 min"
"s434","""Milkwater""","d155",2020,"102 min"
"s437","""The Tambour of Retribution""","d2538",2021,"91 min"
"s438","""Cosmic Sin""","d1410",2021,"88 min"
"s439","""2 Weeks in Lagos""","d4058",2020,"107 min"
"s440","""Deep""","d785",2021,"101 min"
"s442","""Fear Street Part 3: 1666""","d3176",2021,"114 min"
"s444","""La ley de Herodes""","d4342",1999,"123 min"
"s446","""The Beguiled""","d2807",2017,"94 min"
"s447","""The Book of Henry""","d538",2017,"105 min"
"s448","""The Twilight Saga: Breaking Dawn: Part 1""","d1842",2011,"117 min"
"s449","""The Twilight Saga: Breaking Dawn: Part 2""","d2456",2012,"115 min"
"s450","""The Twilight Saga: Eclipse""","d525",2010,"124 min"
"s451","""The Twilight Saga: New Moon""","d2951",2009,"131 min"
"s452","""Twilight""","d4132",2008,"122 min"
"s453","""A Perfect Fit""","d4116",2021,"113 min"
"s455","""Cheech & Chong's Still Smokin""","d2369",1983,"91 min"
"s456","""Emicida: AmarElo - Live in São Paulo""","d3848",2021,"100 min"
"s458","""Lift Like a Girl""","d4496",2021,"93 min"
"s459","""My Amanda""","d2702",2021,"90 min"
"s461","""Surf's Up""","d972",2007,"86 min"
"s462","""The Unknown Saint""","d1167",2019,"100 min"
"s463","""This Changes Everything""","d2775",2019,"96 min"
"s464","""A Classic Horror Story""","d1983",2021,"95 min"
"s465","""Gunpowder Milkshake""","d854",2021,"115 min"
"s468","""Private Network: Who Killed Manuel Buendía?""","d4147",2021,"100 min"
"s469","""The Guide to the Perfect Family""","d3737",2021,"102 min"
"s470","""American Woman""","d3770",2019,"87 min"
"s471","""Bridgerton - The Afterparty""","d575",2021,"39 min"
"s472","""Day of Destiny""","d3262",2021,"110 min"
"s474","""Born to Play""","d1149",2020,"93 min"
"s475","""American Ultra""","d1716",2015,"96 min"
"s476","""The Stand-Up""","d3855",2019,"93 min"
"s477","""The Tour""","d2492",2016,"93 min"
"s480","""Fear Street Part 2: 1978""","d2661",2021,"111 min"
"s481","""Finding Hubby""","d3125",2020,"105 min"
"s482","""How I Became a Superhero""","d3052",2021,"101 min"
"s484","""Last Summer""","d5",2021,"102 min"
"s485","""Lee Su-geun: The Sense Coach""","d877",2021,"46 min"
"s486","""Lethal Love""","d992",2021,"89 min"
"s487","""Ratchet and Clank""","d4143",2016,"94 min"
"s490","""Back to Q82""","d4365",2017,"104 min"
"s492","""Home Again""","d4466",2017,"97 min"
